Order/PO Number,External ID,Model number,ASIN,Merchant SKU,Title,List price,Discount,Cost,Quantity Ordered,Previously Confirmed Quantity,Quantity Confirmed,Quantity Canceled,Quantity Received,Hand Off Start,Hand Off End,Hand Off Type,Expected Hand Off Date,Availability Status,Error From Previous Upload Attempt,Vendor code,Fulfillment Center,Consolidation ID,Condition,Order date,Is Back Order,Freight terms,Payment Method,Special Instructions,Comments,Legal Entity Id,Currency code,External ID type,Item Package Quantity,Aggregate Quantity,Merchant Customer ID,Merchant Sku ratio,Priority
69VED3RS,6221319312866,2125126612,B0F43YQR5K,,junior Pajama Set (Shirt & T-Shirt & Printed Short),EGP 482.46,35%,313.6,2,,2,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319317915,2125301604,B0F43Z1N6X,,junior Pajama Set (T-Shirt & Printed Pants),EGP 464.04,35%,299.34,2,,2,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319311982,2125123203,B0F43Z23V7,,Junior Baby Receiving Blanket – Safari Print (0-3 Months),EGP 341.23,35%,222.37,1,,1,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319315720,2125176512,B0F43Z4YPG,,junior Pajama Set (T-Shirt & Printed Short),EGP 394.74,35%,256.58,2,,2,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319316987,2125180703,B0F43Z58JW,,"junior Pajama Set (T-Shirt & Printed Pants), 24",EGP 481.58,35%,313.6,1,,1,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319311722,2125122203,B0F43Z634D,,"Junior Baby Hooded Swaddle Blanket, 0-3 Months",EGP 341.23,35%,222.37,2,,2,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319316802,2125180203,B0F43Z78S4,,Printed Romper,EGP 104.39,34%,68.42,3,,3,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319311623,2125122009,B0F43Z7D7N,,"Junior Baby Boy ""Hello Summer"" Printed T-Shirt & Shorts Set, 6-9 Months",EGP 438.60,35%,285.09,4,,4,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319319551,2125340303,B0F43Z8G3C,,junior Pajama Set (T-Shirt & Printed Pants),EGP 464.04,35%,299.34,1,,1,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319313740,2125130224,B0F43Z8R6K,,"junior Pajama Set (T-Shirt & Printed Pants), 18",EGP 481.58,35%,313.6,1,,1,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
